# This file is automatically generated with gendata.py file.
# The content is pseudo-random with logical patterns to make it look real.
name,interests,sport,art,science,science,sport,rand,art,sport,rand,science,science,art,rand,rand
Genevieve Ryan,science,0.21,0.56,1.00,0.99,0.67,0.38,0.32,0.26,0.56,0.87,0.76,0.17,0.27,0.08
Karla Singleton,science,0.30,0.46,0.71,0.79,0.14,0.57,0.73,0.10,0.33,0.70,0.74,0.73,0.10,0.25
Marcus Estrada,art,0.34,0.66,0.73,0.34,0.06,0.62,0.96,0.68,0.38,0.70,0.07,0.86,0.50,0.47
Benjamin Barker,art,0.41,0.88,0.60,0.35,0.62,0.65,0.91,0.45,0.66,0.57,0.12,0.91,0.22,0.43
Myra Mullins,science,0.34,0.38,0.86,0.84,0.43,0.16,0.47,0.46,0.15,0.80,0.85,0.65,0.23,0.19
Syreeta Mosier,science,0.44,0.54,0.89,0.72,0.63,0.59,0.21,0.33,0.44,0.85,0.67,0.74,0.08,0.43
Geraldine Elliott,science,0.48,0.64,0.78,0.97,0.33,0.69,0.75,0.49,0.65,0.80,0.96,0.04,0.40,0.13
Sue Aguilar,sport,0.90,0.07,0.34,0.45,0.94,0.11,0.74,0.96,0.11,0.49,0.40,0.15,0.14,0.55
Genevieve Barnett,sport,0.88,0.35,0.35,0.68,0.76,0.07,0.06,0.67,0.39,0.29,0.16,0.73,0.10,0.41
Jordan Hines,science,0.39,0.53,0.71,0.69,0.19,0.14,0.10,0.53,0.21,0.68,0.82,0.17,0.58,0.51
Kerry Morales,sport,0.97,0.17,0.12,0.58,0.84,0.73,0.49,0.87,0.69,0.24,0.62,0.24,0.64,0.10
David Bowman,sport,0.75,0.45,0.16,0.33,0.90,0.67,0.38,0.75,0.09,0.01,0.42,0.05,0.52,0.19
Bessie Mullins,sport,0.89,0.05,0.06,0.34,0.96,0.32,0.60,0.72,0.42,0.28,0.06,0.38,0.24,0.71
Shirly Kennon,art,0.47,0.93,0.38,0.15,0.46,0.66,0.86,0.32,0.24,0.46,0.45,0.92,0.25,0.17
Lena Wright,art,0.67,0.88,0.37,0.73,0.74,0.63,0.98,0.52,0.11,0.10,0.08,0.81,0.41,0.20
Zachary Watts,sport,0.90,0.70,0.30,0.67,0.75,0.23,0.16,0.87,0.71,0.07,0.44,0.39,0.28,0.15
Franklin Swint,science,0.26,0.45,0.85,0.87,0.21,0.62,0.15,0.39,0.63,0.87,0.94,0.30,0.41,0.37
Kenny Ross,science,0.22,0.60,0.96,0.77,0.68,0.25,0.58,0.34,0.33,0.74,0.76,0.41,0.56,0.00
Amanda Logan,sport,0.77,0.24,0.42,0.24,0.68,0.16,0.06,0.99,0.32,0.67,0.14,0.64,0.32,0.46
Eugene Chandler,sport,0.77,0.61,0.73,0.62,0.65,0.02,0.13,0.77,0.56,0.07,0.69,0.40,0.23,0.37
Bob Torres,sport,0.72,0.61,0.62,0.41,0.72,0.02,0.41,0.65,0.06,0.50,0.30,0.54,0.57,0.50
Teresa Price,sport,0.85,0.00,0.72,0.71,0.70,0.60,0.20,0.96,0.03,0.24,0.56,0.46,0.22,0.49
Leanna Alcantara,sport,0.65,0.47,0.46,0.67,1.00,0.12,0.50,0.69,0.43,0.31,0.32,0.67,0.52,0.12
Alyssa Medina,sport,0.79,0.04,0.47,0.22,0.99,0.71,0.45,0.92,0.62,0.10,0.29,0.15,0.21,0.13
Tricia Banks,art,0.22,1.00,0.53,0.37,0.37,0.32,1.00,0.62,0.09,0.43,0.63,0.72,0.56,0.32
Mona Valdez,art,0.35,0.73,0.35,0.15,0.34,0.64,0.66,0.06,0.08,0.74,0.39,0.76,0.73,0.70
Sheri Fisher,science,0.22,0.28,0.72,0.87,0.52,0.27,0.14,0.63,0.46,0.90,0.80,0.71,0.73,0.09
Violet Mccoy,art,0.34,0.70,0.12,0.34,0.25,0.40,0.83,0.41,0.25,0.39,0.41,0.80,0.60,0.25
Dawn Underwood,science,0.19,0.10,0.71,0.71,0.02,0.38,0.38,0.37,0.39,0.71,0.90,0.23,0.31,0.13
Joseph Long,art,0.03,0.87,0.57,0.34,0.74,0.30,0.87,0.32,0.40,0.47,0.41,1.00,0.56,0.28
